domain,feature_set,feature,coef,p_value,sig
math,counts,count_verification,0.0886,0.4737,""
math,counts,count_backtracking,-0.638,0.0122,*
math,counts,count_subgoal,-0.3846,0.0006,*
math,counts,count_backward_chaining,0.0484,0.7587,""
math,counts,count_Question_and_Answering,0.7038,0.025,*
math,counts,count_Perspective_Shift,-0.1089,0.7054,""
math,counts,count_Conflict_of_Perspectives,-0.7308,0.056,""
math,counts,count_Reconciliation,0.4074,0.2013,""
math,counts,difficulty_num,0.017,0.8914,""
math,counts+positional,count_verification,0.0593,0.6405,""
math,counts+positional,count_backtracking,-0.6366,0.0128,*
math,counts+positional,count_subgoal,-0.424,0.0003,*
math,counts+positional,count_backward_chaining,0.0497,0.7625,""
math,counts+positional,count_Question_and_Answering,0.6492,0.0457,*
math,counts+positional,count_Perspective_Shift,-0.1726,0.5553,""
math,counts+positional,count_Conflict_of_Perspectives,-0.6295,0.1072,""
math,counts+positional,count_Reconciliation,0.411,0.196,""
math,counts+positional,verification_com,0.0002,0.9989,""
math,counts+positional,subgoal_com,-0.1148,0.3423,""
math,counts+positional,Reconciliation_com,0.1457,0.2591,""
math,counts+positional,Question_and_Answering_com,0.1059,0.3884,""
math,counts+positional,difficulty_num,0.034,0.7873,""
math,counts+positional+trajectory,count_verification,-0.0089,0.9467,""
math,counts+positional+trajectory,count_backtracking,-0.6209,0.0163,*
math,counts+positional+trajectory,count_subgoal,-0.4396,0.0002,*
math,counts+positional+trajectory,count_backward_chaining,0.048,0.7892,""
math,counts+positional+trajectory,count_Question_and_Answering,0.6014,0.0729,""
math,counts+positional+trajectory,count_Perspective_Shift,-0.1675,0.5699,""
math,counts+positional+trajectory,count_Conflict_of_Perspectives,-0.5744,0.1451,""
math,counts+positional+trajectory,count_Reconciliation,0.246,0.4611,""
math,counts+positional+trajectory,verification_com,0.0601,0.8038,""
math,counts+positional+trajectory,subgoal_com,0.3981,0.0799,""
math,counts+positional+trajectory,Reconciliation_com,0.2717,0.2608,""
math,counts+positional+trajectory,Question_and_Answering_com,0.4418,0.1006,""
math,counts+positional+trajectory,subgoal_frontload,0.3275,0.2872,""
math,counts+positional+trajectory,verify_backload,-0.5643,0.1478,""
math,counts+positional+trajectory,reconcile_terminal,-0.7216,0.112,""
math,counts+positional+trajectory,arc_score,1.2551,0.0957,""
math,counts+positional+trajectory,difficulty_num,0.0167,0.897,""
gpqa,counts,count_verification,0.125,0.2202,""
gpqa,counts,count_backtracking,0.1492,0.4364,""
gpqa,counts,count_subgoal,-0.0695,0.4791,""
gpqa,counts,count_backward_chaining,-0.0493,0.6373,""
gpqa,counts,count_Question_and_Answering,0.0638,0.7061,""
gpqa,counts,count_Perspective_Shift,-0.2076,0.325,""
gpqa,counts,count_Conflict_of_Perspectives,-0.3212,0.1672,""
gpqa,counts,count_Reconciliation,0.1843,0.1592,""
gpqa,counts,difficulty_num,0.2267,0.0299,*
gpqa,counts+positional,count_verification,0.1139,0.2631,""
gpqa,counts+positional,count_backtracking,0.1454,0.4542,""
gpqa,counts+positional,count_subgoal,-0.077,0.4359,""
gpqa,counts+positional,count_backward_chaining,-0.0539,0.6092,""
gpqa,counts+positional,count_Question_and_Answering,0.0037,0.9829,""
gpqa,counts+positional,count_Perspective_Shift,-0.1869,0.3798,""
gpqa,counts+positional,count_Conflict_of_Perspectives,-0.3766,0.1192,""
gpqa,counts+positional,count_Reconciliation,0.2038,0.1219,""
gpqa,counts+positional,verification_com,0.0163,0.8706,""
gpqa,counts+positional,subgoal_com,-0.0444,0.6798,""
gpqa,counts+positional,Reconciliation_com,-0.1062,0.3628,""
gpqa,counts+positional,Question_and_Answering_com,-0.1781,0.0762,""
gpqa,counts+positional,difficulty_num,0.2075,0.0515,""
gpqa,counts+positional+trajectory,count_verification,0.1026,0.3171,""
gpqa,counts+positional+trajectory,count_backtracking,0.1416,0.4736,""
gpqa,counts+positional+trajectory,count_subgoal,-0.0771,0.4377,""
gpqa,counts+positional+trajectory,count_backward_chaining,-0.0514,0.6262,""
gpqa,counts+positional+trajectory,count_Question_and_Answering,-0.0511,0.7741,""
gpqa,counts+positional+trajectory,count_Perspective_Shift,-0.1849,0.3938,""
gpqa,counts+positional+trajectory,count_Conflict_of_Perspectives,-0.4214,0.0832,""
gpqa,counts+positional+trajectory,count_Reconciliation,0.1927,0.1469,""
gpqa,counts+positional+trajectory,verification_com,-0.3339,0.1224,""
gpqa,counts+positional+trajectory,subgoal_com,0.2908,0.217,""
gpqa,counts+positional+trajectory,Reconciliation_com,-0.3124,0.2004,""
gpqa,counts+positional+trajectory,Question_and_Answering_com,-0.0813,0.6725,""
gpqa,counts+positional+trajectory,subgoal_frontload,0.2657,0.3211,""
gpqa,counts+positional+trajectory,verify_backload,0.3145,0.1928,""
gpqa,counts+positional+trajectory,reconcile_terminal,0.124,0.6427,""
gpqa,counts+positional+trajectory,arc_score,0.1819,0.5587,""
gpqa,counts+positional+trajectory,difficulty_num,0.2034,0.0594,""
planning,counts,count_verification,-0.106,0.4284,""
planning,counts,count_backtracking,0.0794,0.5405,""
planning,counts,count_subgoal,0.0275,0.8043,""
planning,counts,count_backward_chaining,-0.0419,0.705,""
planning,counts,count_Question_and_Answering,-0.0178,0.925,""
planning,counts,count_Perspective_Shift,-0.0169,0.9402,""
planning,counts,count_Conflict_of_Perspectives,-0.0619,0.76,""
planning,counts,count_Reconciliation,-0.0667,0.6833,""
planning,counts,difficulty_num,0.1293,0.2869,""
planning,counts+positional,count_verification,-0.1049,0.4309,""
planning,counts+positional,count_backtracking,0.0711,0.5903,""
planning,counts+positional,count_subgoal,0.0257,0.8179,""
planning,counts+positional,count_backward_chaining,-0.0461,0.6801,""
planning,counts+positional,count_Question_and_Answering,-0.0148,0.9386,""
planning,counts+positional,count_Perspective_Shift,-0.0297,0.8973,""
planning,counts+positional,count_Conflict_of_Perspectives,-0.051,0.8124,""
planning,counts+positional,count_Reconciliation,-0.0731,0.6595,""
planning,counts+positional,verification_com,-0.0384,0.7534,""
planning,counts+positional,subgoal_com,0.0274,0.8129,""
planning,counts+positional,Reconciliation_com,0.0107,0.9254,""
planning,counts+positional,Question_and_Answering_com,0.0441,0.7147,""
planning,counts+positional,difficulty_num,0.1377,0.2669,""
planning,counts+positional+trajectory,count_verification,-0.1131,0.3871,""
planning,counts+positional+trajectory,count_backtracking,0.0662,0.6169,""
planning,counts+positional+trajectory,count_subgoal,0.0295,0.7952,""
planning,counts+positional+trajectory,count_backward_chaining,-0.0447,0.6913,""
planning,counts+positional+trajectory,count_Question_and_Answering,-0.0229,0.9059,""
planning,counts+positional+trajectory,count_Perspective_Shift,-0.0384,0.868,""
planning,counts+positional+trajectory,count_Conflict_of_Perspectives,-0.0006,0.998,""
planning,counts+positional+trajectory,count_Reconciliation,-0.072,0.6674,""
planning,counts+positional+trajectory,verification_com,-0.049,0.8517,""
planning,counts+positional+trajectory,subgoal_com,0.2755,0.2451,""
planning,counts+positional+trajectory,Reconciliation_com,0.3367,0.1586,""
planning,counts+positional+trajectory,Question_and_Answering_com,0.1484,0.4258,""
planning,counts+positional+trajectory,subgoal_frontload,0.1768,0.5677,""
planning,counts+positional+trajectory,verify_backload,-0.0514,0.8487,""
planning,counts+positional+trajectory,reconcile_terminal,-0.4551,0.1154,""
planning,counts+positional+trajectory,arc_score,0.2106,0.4966,""
planning,counts+positional+trajectory,difficulty_num,0.13,0.3008,""
code,counts,count_verification,0.3027,0.3372,""
code,counts,count_backtracking,-0.8724,0.1394,""
code,counts,count_subgoal,-0.1517,0.6635,""
code,counts,count_backward_chaining,0.2778,0.2756,""
code,counts,count_Question_and_Answering,-0.4946,0.3452,""
code,counts,count_Perspective_Shift,-0.4928,0.5501,""
code,counts,count_Conflict_of_Perspectives,0.0885,0.8414,""
code,counts,count_Reconciliation,0.5492,0.2042,""
code,counts,difficulty_num,-0.7211,0.0464,*
code,counts+positional,count_verification,0.1207,0.7137,""
code,counts+positional,count_backtracking,-0.9287,0.1547,""
code,counts+positional,count_subgoal,-0.1367,0.7083,""
code,counts+positional,count_backward_chaining,0.3477,0.2815,""
code,counts+positional,count_Question_and_Answering,-0.5812,0.2995,""
code,counts+positional,count_Perspective_Shift,-0.2671,0.752,""
code,counts+positional,count_Conflict_of_Perspectives,-0.146,0.7625,""
code,counts+positional,count_Reconciliation,0.4535,0.3119,""
code,counts+positional,verification_com,-0.2638,0.374,""
code,counts+positional,subgoal_com,0.0409,0.8947,""
code,counts+positional,Reconciliation_com,-0.5042,0.0909,""
code,counts+positional,Question_and_Answering_com,-0.0797,0.7753,""
code,counts+positional,difficulty_num,-0.7564,0.0485,*
code,counts+positional+trajectory,count_verification,-0.0216,0.952,""
code,counts+positional+trajectory,count_backtracking,-0.5855,0.4091,""
code,counts+positional+trajectory,count_subgoal,-0.0804,0.8316,""
code,counts+positional+trajectory,count_backward_chaining,0.4103,0.266,""
code,counts+positional+trajectory,count_Question_and_Answering,-0.7966,0.1751,""
code,counts+positional+trajectory,count_Perspective_Shift,-0.6787,0.4723,""
code,counts+positional+trajectory,count_Conflict_of_Perspectives,-0.0971,0.8531,""
code,counts+positional+trajectory,count_Reconciliation,0.3972,0.3941,""
code,counts+positional+trajectory,verification_com,-0.3126,0.6095,""
code,counts+positional+trajectory,subgoal_com,0.0491,0.9314,""
code,counts+positional+trajectory,Reconciliation_com,-0.5879,0.2897,""
code,counts+positional+trajectory,Question_and_Answering_com,0.8411,0.2088,""
code,counts+positional+trajectory,subgoal_frontload,-0.6596,0.3746,""
code,counts+positional+trajectory,verify_backload,-0.567,0.4459,""
code,counts+positional+trajectory,reconcile_terminal,-0.6135,0.3988,""
code,counts+positional+trajectory,arc_score,1.7475,0.1302,""
code,counts+positional+trajectory,difficulty_num,-0.7186,0.0694,""
moral,counts,count_verification,-0.0,0.1759,""
moral,counts,count_backtracking,0.004,0.8705,""
moral,counts,count_subgoal,0.0009,0.9712,""
moral,counts,count_backward_chaining,0.0,0.1041,""
moral,counts,count_Question_and_Answering,-0.0141,0.6365,""
moral,counts,count_Perspective_Shift,0.0534,0.0825,""
moral,counts,count_Conflict_of_Perspectives,0.019,0.5338,""
moral,counts,count_Reconciliation,-0.0348,0.2051,""
moral,counts,difficulty_num,0.0222,0.4072,""
moral,counts+positional,count_verification,0.0,0.1347,""
moral,counts+positional,count_backtracking,0.006,0.8105,""
moral,counts+positional,count_subgoal,0.0028,0.9084,""
moral,counts+positional,count_backward_chaining,-0.0,0.5391,""
moral,counts+positional,count_Question_and_Answering,-0.0168,0.5749,""
moral,counts+positional,count_Perspective_Shift,0.0581,0.0625,""
moral,counts+positional,count_Conflict_of_Perspectives,0.0212,0.4919,""
moral,counts+positional,count_Reconciliation,-0.0461,0.1278,""
moral,counts+positional,verification_com,-0.0028,0.9099,""
moral,counts+positional,subgoal_com,0.0095,0.7022,""
moral,counts+positional,Reconciliation_com,-0.0167,0.5554,""
moral,counts+positional,Question_and_Answering_com,-0.0269,0.2923,""
moral,counts+positional,difficulty_num,0.0302,0.2808,""
moral,counts+positional+trajectory,count_verification,-0.0,0.7244,""
moral,counts+positional+trajectory,count_backtracking,0.0065,0.7958,""
moral,counts+positional+trajectory,count_subgoal,0.0032,0.8985,""
moral,counts+positional+trajectory,count_backward_chaining,0.0,0.7644,""
moral,counts+positional+trajectory,count_Question_and_Answering,-0.013,0.6681,""
moral,counts+positional+trajectory,count_Perspective_Shift,0.0605,0.0535,""
moral,counts+positional+trajectory,count_Conflict_of_Perspectives,0.0245,0.4283,""
moral,counts+positional+trajectory,count_Reconciliation,-0.0507,0.0965,""
moral,counts+positional+trajectory,verification_com,0.0458,0.2346,""
moral,counts+positional+trajectory,subgoal_com,0.0199,0.6868,""
moral,counts+positional+trajectory,Reconciliation_com,0.0118,0.7884,""
moral,counts+positional+trajectory,Question_and_Answering_com,-0.0277,0.5265,""
moral,counts+positional+trajectory,subgoal_frontload,0.017,0.7698,""
moral,counts+positional+trajectory,verify_backload,-0.0638,0.166,""
moral,counts+positional+trajectory,reconcile_terminal,-0.0307,0.5266,""
moral,counts+positional+trajectory,arc_score,-0.0031,0.9586,""
moral,counts+positional+trajectory,difficulty_num,0.0312,0.2669,""
idea,counts,count_verification,-0.0,0.0,*
idea,counts,count_backtracking,0.0,0.2703,""
idea,counts,count_subgoal,-0.0,0.355,""
idea,counts,count_backward_chaining,0.0,0.0,*
idea,counts,count_Question_and_Answering,0.0,0.4946,""
idea,counts,count_Perspective_Shift,-0.0,0.5111,""
idea,counts,count_Conflict_of_Perspectives,0.0,0.9374,""
idea,counts,count_Reconciliation,-0.0,0.5695,""
idea,counts,difficulty_num,0.1044,0.0,*
idea,counts+positional,count_verification,-0.0,0.0,*
idea,counts+positional,count_backtracking,-0.0,0.9279,""
idea,counts+positional,count_subgoal,-0.0,0.4255,""
idea,counts+positional,count_backward_chaining,-0.0,0.0,*
idea,counts+positional,count_Question_and_Answering,0.0,0.7814,""
idea,counts+positional,count_Perspective_Shift,-0.0,0.6193,""
idea,counts+positional,count_Conflict_of_Perspectives,0.0,0.5967,""
idea,counts+positional,count_Reconciliation,-0.0,0.1934,""
idea,counts+positional,verification_com,-0.0,0.6899,""
idea,counts+positional,subgoal_com,-0.0,0.2825,""
idea,counts+positional,Reconciliation_com,0.0,0.0329,*
idea,counts+positional,Question_and_Answering_com,-0.0,0.4906,""
idea,counts+positional,difficulty_num,0.1044,0.0,*
idea,counts+positional+trajectory,count_verification,-0.0,0.0,*
idea,counts+positional+trajectory,count_backtracking,0.0,0.1802,""
idea,counts+positional+trajectory,count_subgoal,0.0,0.2378,""
idea,counts+positional+trajectory,count_backward_chaining,-0.0,0.0,*
idea,counts+positional+trajectory,count_Question_and_Answering,0.0,0.5168,""
idea,counts+positional+trajectory,count_Perspective_Shift,-0.0,0.5432,""
idea,counts+positional+trajectory,count_Conflict_of_Perspectives,0.0,0.7594,""
idea,counts+positional+trajectory,count_Reconciliation,-0.0,0.6415,""
idea,counts+positional+trajectory,verification_com,0.0,0.4434,""
idea,counts+positional+trajectory,subgoal_com,0.0,0.9596,""
idea,counts+positional+trajectory,Reconciliation_com,-0.0,0.2435,""
idea,counts+positional+trajectory,Question_and_Answering_com,0.0,0.3813,""
idea,counts+positional+trajectory,subgoal_frontload,-0.0,0.8408,""
idea,counts+positional+trajectory,verify_backload,-0.0,0.5207,""
idea,counts+positional+trajectory,reconcile_terminal,0.0,0.7925,""
idea,counts+positional+trajectory,arc_score,-0.0,0.9379,""
idea,counts+positional+trajectory,difficulty_num,0.1044,0.0,*
